bank_name,filing_date,filing_year,risk_factors_length,mda_length,rf_hedging_density,rf_severe_density,rf_sentiment_compound,rf_sentiment_negative,rf_word_count,mda_hedging_density,mda_severe_density,mda_sentiment_compound,mda_sentiment_negative,mda_word_count,rf_length_yoy_change,mda_length_yoy_change
Columbia Banking System,2017-03-01,2017,0,0,,,,,0.0,,,,,0.0,,
Columbia Banking System,2018-03-01,2018,0,0,,,,,0.0,,,,,0.0,,
Columbia Banking System,2019-02-28,2019,0,0,,,,,0.0,,,,,0.0,,
Columbia Banking System,2020-02-27,2020,0,0,,,,,0.0,,,,,0.0,,
Columbia Banking System,2021-03-01,2021,0,0,,,,,0.0,,,,,0.0,,
Columbia Banking System,2022-02-24,2022,0,0,,,,,0.0,,,,,0.0,,
Columbia Banking System,2023-02-23,2023,0,0,,,,,0.0,,,,,0.0,,
Columbia Banking System,2024-02-22,2024,0,0,,,,,0.0,,,,,0.0,,
Columbia Banking System,2025-02-20,2025,0,0,,,,,0.0,,,,,0.0,,
Columbia Banking System,2026-02-26,2026,0,0,,,,,0.0,,,,,0.0,,
Comerica,2019-02-12,2019,0,0,,,,,0.0,,,,,0.0,,
Comerica,2020-02-11,2020,0,0,,,,,0.0,,,,,0.0,,
Comerica,2021-02-09,2021,0,0,,,,,0.0,,,,,0.0,,
Comerica,2022-02-16,2022,0,0,,,,,0.0,,,,,0.0,,
Comerica,2023-02-14,2023,0,0,,,,,0.0,,,,,0.0,,
Comerica,2024-02-28,2024,0,0,,,,,0.0,,,,,0.0,,
Comerica,2025-02-24,2025,0,0,,,,,0.0,,,,,0.0,,
Cullen/Frost Bankers,2017-02-03,2017,0,0,,,,,0.0,,,,,0.0,,
Cullen/Frost Bankers,2018-02-07,2018,0,0,,,,,0.0,,,,,0.0,,
Cullen/Frost Bankers,2019-02-06,2019,0,0,,,,,0.0,,,,,0.0,,
Cullen/Frost Bankers,2020-02-04,2020,0,0,,,,,0.0,,,,,0.0,,
Cullen/Frost Bankers,2021-02-05,2021,0,0,,,,,0.0,,,,,0.0,,
Cullen/Frost Bankers,2022-02-04,2022,0,0,,,,,0.0,,,,,0.0,,
Cullen/Frost Bankers,2023-02-03,2023,0,0,,,,,0.0,,,,,0.0,,
Cullen/Frost Bankers,2024-02-06,2024,0,0,,,,,0.0,,,,,0.0,,
Cullen/Frost Bankers,2025-02-06,2025,0,0,,,,,0.0,,,,,0.0,,
Cullen/Frost Bankers,2026-02-05,2026,0,0,,,,,0.0,,,,,0.0,,
Fifth Third Bancorp,2020-03-02,2020,0,0,,,,,0.0,,,,,0.0,,
Fifth Third Bancorp,2021-02-26,2021,0,100000,,,,,0.0,21.82952182952183,0.12993762993762994,0.9834600000000002,0.0367,15392.0,,inf
Fifth Third Bancorp,2022-02-25,2022,0,0,,,,,0.0,,,,,0.0,,-1.0
Fifth Third Bancorp,2023-02-24,2023,0,0,,,,,0.0,,,,,0.0,,
Fifth Third Bancorp,2024-02-27,2024,0,0,,,,,0.0,,,,,0.0,,
Fifth Third Bancorp,2025-02-24,2025,0,0,,,,,0.0,,,,,0.0,,
Fifth Third Bancorp,2026-02-24,2026,0,0,,,,,0.0,,,,,0.0,,
First Horizon,2018-02-28,2018,0,0,,,,,0.0,,,,,0.0,,
First Horizon,2019-02-28,2019,0,0,,,,,0.0,,,,,0.0,,
First Horizon,2020-02-28,2020,0,0,,,,,0.0,,,,,0.0,,
First Horizon,2021-02-25,2021,0,0,,,,,0.0,,,,,0.0,,
First Horizon,2022-03-01,2022,0,100000,,,,,0.0,15.434004198049143,0.1852080503765897,0.981765,0.03355000000000001,16198.0,,inf
First Horizon,2023-03-01,2023,0,100000,,,,,0.0,21.292538245394944,0.18732438339057134,0.8674600000000001,0.04195,16015.0,,0.0
First Horizon,2024-02-23,2024,0,100000,,,,,0.0,20.6140350877193,0.1879699248120301,0.891635,0.04375,15960.0,,0.0
First Horizon,2025-02-27,2025,0,100000,,,,,0.0,20.458111076247256,0.18826482585503607,0.89307,0.04205,15935.0,,0.0
First Horizon,2026-02-26,2026,0,100000,,,,,0.0,20.994405682318185,0.18857250612860643,0.97848,0.0416,15909.0,,0.0
Glacier Bancorp,2017-03-03,2017,0,0,,,,,0.0,,,,,0.0,,
Glacier Bancorp,2018-02-23,2018,0,0,,,,,0.0,,,,,0.0,,
Glacier Bancorp,2019-03-04,2019,0,0,,,,,0.0,,,,,0.0,,
Glacier Bancorp,2020-03-02,2020,0,0,,,,,0.0,,,,,0.0,,
Glacier Bancorp,2021-03-01,2021,0,0,,,,,0.0,,,,,0.0,,
Glacier Bancorp,2022-02-28,2022,0,0,,,,,0.0,,,,,0.0,,
Glacier Bancorp,2023-03-08,2023,0,0,,,,,0.0,,,,,0.0,,
Glacier Bancorp,2024-02-26,2024,0,0,,,,,0.0,,,,,0.0,,
Glacier Bancorp,2025-03-03,2025,0,0,,,,,0.0,,,,,0.0,,
Glacier Bancorp,2026-03-02,2026,0,0,,,,,0.0,,,,,0.0,,
Heartland BancCorp,2019-02-22,2019,0,0,,,,,0.0,,,,,0.0,,
Heartland BancCorp,2020-02-21,2020,100000,0,30.303030303030305,1.844532279314888,0.777215,0.04875,15180.0,,,,,0.0,inf,
Heartland BancCorp,2021-02-26,2021,100000,0,24.00104636714407,0.19619383951343927,0.9418399999999998,0.040249999999999994,15291.0,,,,,0.0,0.0,
Heartland BancCorp,2022-02-25,2022,100000,0,24.124819719417857,0.19666972597351515,0.888425,0.040249999999999994,15254.0,,,,,0.0,0.0,
Heartland BancCorp,2023-02-24,2023,100000,0,24.370965617178236,0.1976024239230668,0.94812,0.0393,15182.0,,,,,0.0,0.0,
Heartland BancCorp,2024-03-04,2024,100000,0,21.69054817930853,0.19718680163007754,0.9569999999999999,0.033600000000000005,15214.0,,,,,0.0,0.0,
Heartland BancCorp,2025-02-21,2025,100000,0,21.10731194108364,0.2630194634402946,0.883605,0.032350000000000004,15208.0,,,,,0.0,0.0,
Heartland BancCorp,2026-02-20,2026,100000,0,21.996060407091267,0.3939592908732764,0.963255,0.03735,15230.0,,,,,0.0,0.0,
Huntington Bancshares,2023-02-17,2023,0,0,,,,,0.0,,,,,0.0,,
Huntington Bancshares,2024-02-16,2024,0,0,,,,,0.0,,,,,0.0,,
Huntington Bancshares,2025-02-14,2025,0,0,,,,,0.0,,,,,0.0,,
Huntington Bancshares,2026-02-13,2026,0,0,,,,,0.0,,,,,0.0,,
Independent Bank Group,2017-03-08,2017,0,0,,,,,0.0,,,,,0.0,,
Independent Bank Group,2018-02-27,2018,0,0,,,,,0.0,,,,,0.0,,
Independent Bank Group,2019-02-28,2019,0,0,,,,,0.0,,,,,0.0,,
