TRADE,NIMY,IDT1RWAJR,DEPINS,LNATRES,BKCLASS,NOIJ,ELNATR,INTINC,NCLNLSR,P9LTOT,LNLSNET,IDT1CER,DEPFOR,ROA,P3LTOT,DEPDOM,ROE,LNLSGR,NETINC,EQ,LNLSDEPR,NTLNLSR,DEPUNINS,FREPO,CHBAL,OFFDOM,CERT,STALP,EINTEXP,COREDEP,DEPIDOM,REPDTE,RBC1AAJ,SC,PTAXNETINC,NUMEMP,ASSET,NONIX,DEP,NIM,CITY,RBCRWAJ,P9ASSET,NAMEFULL,P3ASSET,NONII,LIAB,EQTOT,ID,bank_name,ticker,failed,failure_date,report_date,year,quarter
362640,3.4446146433478653,11.897085563158608,4528373,274294,SM,194290.68,26996,431921,0.4745211718393372,0.0,24313650,11.897085563158608,3619450.0,1.497053593352494,,43654282,20.29,24587944,194297,3900094,51.431628033936484,0.1475900873606174,39566504,375180,2139031,6,24735,CA,4529,43634624,5874494,20180331,7.688628011493686,24414481,268303,2463,53441140,250611,47273732,427392,SANTA CLARA,12.876572293499278,7,SILICON VALLEY BANK,460023,118518,49541046,3900094,24735_20180331,Silicon Valley Bank,SIVB,True,2023-03-10,2018-03-31,2018,1
295819,3.558598250935721,11.757489017117855,4829891,286709,SM,414930.2,54652,913363,0.48200522915068594,0.0,25709482,11.757489017117855,3643443.0,1.5667985977882684,,45910483,21.22,25996191,414946,4068918,51.88182667908089,0.18157847887238468,41526086,37378,2612318,6,24735,CA,11380,45891692,5739595,20180630,7.721654880230437,25278382,559312,2580,55073093,539041,49553926,901983,SANTA CLARA,12.722238915671536,462,SILICON VALLEY BANK,83282,251022,51004175,4068918,24735_20180630,Silicon Valley Bank,SIVB,True,2023-03-10,2018-06-30,2018,2
346359,3.614197125156688,11.982162794888614,4977359,285713,SM,658424.93,74088,1426064,0.4194411948536666,0.0,27209202,11.982162794888614,4112156.0,1.6243642941721086,,45160476,21.96,27494915,658451,4260684,55.22173445088138,0.22316766754591766,40621492,114628,3656524,6,24735,CA,23460,45142960,5777862,20180930,7.822540292617251,24763839,887917,2768,57284057,829160,49272632,1402604,SANTA CLARA,12.908802229030169,164,SILICON VALLEY BANK,49931,388561,53023373,4260684,24735_20180930,Silicon Valley Bank,SIVB,True,2023-03-10,2018-09-30,2018,3
104134,3.687054789765613,12.410195525392478,5910503,280903,SM,934187.68,84291,1969360,0.33914196627318244,0.0,28057377,12.410195525392478,4735285.0,1.7141985246062375,,45256654,22.72,28338280,933641,4554813,56.12380227940349,0.21800652523323813,39549780,115272,3408468,6,24735,CA,43884,45239580,6789042,20181231,8.103595548609906,23077746,1271087,2818,56139644,1111586,49991939,1925476,SANTA CLARA,13.315988071500815,1964,SILICON VALLEY BANK,138032,541488,51584831,4554813,24735_20181231,Silicon Valley Bank,SIVB,True,2023-03-10,2018-12-31,2018,4
102220,3.758805100848107,12.352604022268146,6545702,299918,SM,266108.64,25588,549913,0.4710520197626046,0.0,28522801,12.352604022268146,4858636.0,1.830951990864784,,47920727,22.76,28822719,263252,4696564,54.04157871325579,0.10601634166680678,42061949,294727,6603050,6,24735,CA,30111,47904639,10003646,20190331,8.380495631847412,21633780,364373,2923,58883361,287679,52779363,519802,SANTA CLARA,13.291104584363561,2147,SILICON VALLEY BANK,73503,157838,54186797,4696564,24735_20190331,Silicon Valley Bank,SIVB,True,2023-03-10,2019-03-31,2019,1
132379,3.7186421680388397,12.498883343357054,7098213,301619,SM,538406.2,44700,1134905,0.3315899317737402,0.0,28876589,12.498883343357054,4875020.0,1.810305697301,,51073569,22.64,29178208,535341,4936520,51.6127207426089,0.16811134250978235,44493243,285449,8541457,6,24735,CA,78457,51052879,12857606,20190630,8.166881407782059,22656410,737756,2964,62408133,594286,55948589,1056448,SANTA CLARA,13.437240702539052,111,SILICON VALLEY BANK,40470,320294,57471613,4936520,24735_20190630,Silicon Valley Bank,SIVB,True,2023-03-10,2019-06-30,2019,2
184560,3.6028954808401505,11.479890155187663,5746816,304283,SM,786154.72,80828,1717763,0.3378866606350429,0.0,30744294,11.479890155187663,5031476.0,1.7082133179417762,,55400780,21.86,31048577,783099,4918767,50.87398027967052,0.25951852911713535,50000132,364307,6319589,6,24735,CA,133682,55375227,15445104,20190930,7.478526485664943,27145997,1084020,3068,67059614,905504,60432256,1584081,SANTA CLARA,12.362911843823877,864,SILICON VALLEY BANK,54254,486271,62140847,4918767,24735_20190930,Silicon Valley Bank,SIVB,True,2023-03-10,2019-09-30,2019,3
167341,3.5307533970809213,11.12169412039643,6041321,304803,SM,1039702.95,94062,2305949,0.3108149815397325,0.0,32844500,11.12169412039643,6348604.0,1.6483889332453543,,56595148,21.47,33149303,1036618,5034095,52.18071525192842,0.23769890007237887,51103781,281123,6178789,6,24735,CA,181263,56569328,16322389,20191231,7.29631063463619,27752756,1425534,3140,69942929,1266253,62943752,2124686,SANTA CLARA,11.958635706364747,365,SILICON VALLEY BANK,77771,661163,64908834,5034095,24735_20191231,Silicon Valley Bank,SIVB,True,2023-03-10,2019-12-31,2019,4
313887,3.0788572294741097,10.90300884388201,5713022,548525,SM,100810.65,248750,566498,0.15712617010891775,0.0,35404111,10.90300884388201,5558624.0,0.8309561143832146,,57200863,11.2,35952636,149131,5617402,56.4123651934886,0.3373682466421094,52138308,394894,9004982,6,24735,CA,40016,57159587,15218663,20200331,7.211124373724188,26141184,141171,3269,73632403,308255,62759487,526482,SANTA CLARA,12.038430612363364,4917,SILICON VALLEY BANK,241124,171694,68015001,5617402,24735_20200331,Silicon Valley Bank,SIVB,True,2023-03-10,2020-03-31,2020,1
269348,2.8811893048763135,11.083552696119444,6164894,589476,SM,274669.65,300727,1089557,0.25714329063492264,0.0,36122351,11.083552696119444,6779460.0,0.8497315964240838,,69302344,11.76,36711827,322990,5821224,47.47830506227218,0.22751671082191705,64381153,311072,13752806,6,24735,CA,46203,69241887,20630756,20200630,6.914869032249853,31254859,380421,3450,84489625,671252,76081804,1043354,SANTA CLARA,12.282369181219496,76,SILICON VALLEY BANK,18998,309046,78668401,5821224,24735_20200630,Silicon Valley Bank,SIVB,True,2023-03-10,2020-06-30,2020,2
