bank_name,year,TRADE,NIMY,IDT1RWAJR,DEPINS,LNATRES,BKCLASS,NOIJ,ELNATR,INTINC,NCLNLSR,P9LTOT,LNLSNET,IDT1CER,DEPFOR,ROA,P3LTOT,DEPDOM,ROE,LNLSGR,NETINC,EQ,LNLSDEPR,NTLNLSR,DEPUNINS,FREPO,CHBAL,OFFDOM,CERT,STALP,EINTEXP,COREDEP,DEPIDOM,REPDTE,RBC1AAJ,SC,PTAXNETINC,NUMEMP,ASSET,NONIX,DEP,NIM,CITY,RBCRWAJ,P9ASSET,NAMEFULL,P3ASSET,NONII,LIAB,EQTOT,ID,ticker,failed,failure_date,report_date,quarter,liquidity_ratio,debt_to_equity,net_interest_income,interest_coverage,loan_to_deposit,uninsured_deposit_ratio,npa_ratio,core_deposit_ratio,reserve_ratio,filing_date,filing_year,risk_factors_length,mda_length,rf_hedging_density,rf_severe_density,rf_sentiment_compound,rf_sentiment_negative,rf_word_count,mda_hedging_density,mda_severe_density,mda_sentiment_compound,mda_sentiment_negative,mda_word_count,rf_length_yoy_change,mda_length_yoy_change,max_drawdown,severe_drawdown,distressed,liquidity_ratio_yoy,debt_to_equity_yoy,interest_coverage_yoy,loan_to_deposit_yoy,uninsured_deposit_ratio_yoy
Citizens Financial Group,2018,0,2.2717578825629823,28.618210567132852,3561063,0,N,141042.93,0,302037,0.0,0.0,8112874,28.618210567132852,,1.494810596899529,0.0,3561309,11.78,8112874,136803,1255025,227.8059556191277,0.0,246,1591401,57653,1,27389,NV,98558,3535172,3561309,20181231,14.134782261005268,0,235221,0,9965024,108558,3561309,203479,LAS VEGAS,28.618210567132852,0,WELLS FARGO FINANCIAL NATIONAL BANK,3128,140300,8709999,1255025,27389_20181231,CFG,False,,2018-12-31,4,0.463047154852331,6.940099998008008,203479,2.0645609691755107,2.278059556191277,6.90757246843787e-05,0.0,0.9926608446500992,0.0,,,,,,,,,,,,,,,,,-0.6559768255982967,True,True,,,,,
Citizens Financial Group,2019,0,2.7019774697812977,22.5722443964468,6728550,0,N,304645.0,270,582235,0.05532728208720411,0.0,11643442,22.5722443964468,,2.1499499113082585,0.0,6914781,21.77,11643442,304645,1524418,168.38482664888448,0.00227671946581483,189466,4087139,7885,1,27389,NV,206889,5225960,6914781,20191231,10.017723836730177,0,382582,0,16012936,63716,6914781,375346,LAS VEGAS,22.5722443964468,2911,WELLS FARGO NATIONAL BANK WEST,4354,71222,14488518,1524418,27389_20191231,CFG,False,,2019-12-31,4,0.5922131156431418,9.504294753801123,375346,1.8142385530405194,1.6838482664888448,0.027400144704510528,0.00018179052236266978,0.7557665239144956,0.0,,,,,,,,,,,,,,,,,-0.6559768255982967,True,True,0.27894774741031014,0.36947518861819084,-0.12124728689168152,-0.26084098112689524,395.66821925803123
Citizens Financial Group,2020,0,2.1773113806583697,42.68861084782417,19404904,29259,N,363270.0,18357,544333,0.2124392534031042,0.0,8311949,42.68861084782417,0.0,1.8292925742353787,,20093435,20.88,8341208,363270,1873829,41.366491095225875,-8.147346388912765e-06,650944,739300,12806017,1,27389,NV,117984,14424078,20093435,20201231,8.582811436228964,0,465528,0,22031369,96236,20093435,426349,LAS VEGAS,42.88960120888294,4375,WELLS FARGO NATIONAL BANK WEST,27508,153772,20157540,1873829,27389_20201231,CFG,False,,2020-12-31,4,0.6741165460261026,10.757406358851314,426349,3.6136171006238134,0.41366491095225877,0.03239585466596428,0.0001985804876673801,0.7178502829406719,0.0035077653021001274,,,,,,,,,,,,,,,,,-0.6559768255982967,True,True,0.13830060196153182,0.13184687949087714,0.9918092328970072,-0.7543336183046756,0.18232421818675193
Citizens Financial Group,2021,0,1.9900339033467187,30.45566214543322,16127182,38032,N,225521.0,8952,406187,0.6501447124385045,0.0,11905309,30.45566214543322,0.0,1.1413867889215117,,16911994,11.87,11943341,225521,1891675,70.39565529647184,0.001522865199920042,777333,627187,2700058,1,27389,NV,16605,15228814,16911994,20211231,10.225202194717717,3467225,296059,0,18863981,84919,16911994,389582,LAS VEGAS,30.702627655537967,0,WELLS FARGO NATIONAL BANK WEST,26446,348,16972306,1891675,27389_20211231,CFG,False,,2021-12-31,4,0.40175451812482904,8.972104616279223,389582,23.46172839506173,0.7039565529647184,0.045963415076897496,0.0,0.9004741841795828,0.003184368595018764,,,,,,,,,,,,,,,,,-0.6559768255982967,True,True,-0.4040281009372041,-0.16596024013754251,5.492588379386285,0.7017555376988751,0.4188054475126277
Citizens Financial Group,2022,0,1.0540845917901018,25.326222465012854,12578383,40752,N,105182.0,2821,491843,0.4540127142184552,0.0,12845451,25.326222465012854,0.0,0.5657374831993739,,13745873,5.92,12886203,105182,1731366,93.44951026391703,0.0005774146420470638,1281006,971728,503814,1,27389,NV,297924,13068897,13745873,20221231,9.671571603351481,3148380,128867,0,17664869,60477,13745873,193919,LAS VEGAS,25.677616678261327,1351,WELLS FARGO NATIONAL BANK WEST,19105,-1754,15933503,1731366,27389_20221231,CFG,False,,2022-12-31,4,0.3363862011528842,9.202850812595372,193919,0.6509009009009009,0.9344951026391703,0.09319204389564781,7.647948026107637e-05,0.9507505998345831,0.0031624521203026212,,,,,,,,,,,,,,,,,-0.6559768255982967,True,True,-0.16270711099167845,0.025718179422192344,-0.9722569075073811,0.3274897416659268,1.0275265390906245
Citizens Financial Group,2023,0,0.1093089219736833,31.52385055362422,11427019,20944,N,-989946.31,-19714,609475,0.7018574723962882,0.0,6218072,31.52385055362422,0.0,-6.3287369912069025,,12204513,-64.42,6239016,-1020370,1345681,50.94895634098632,0.005293714198159822,893768,0,6443593,1,27389,NV,592129,12100208,12204513,20231231,9.201474114566981,2018023,-1260145,0,14793562,68292,12204513,17346,LAS VEGAS,31.742654660074454,0,WELLS FARGO NATIONAL BANK WEST,11426,-1228913,13447881,1345681,27389_20231231,CFG,False,,2023-12-31,4,0.6933186109105706,9.993364697874162,17346,0.029294292291037933,0.5094895634098632,0.07323258207844918,0.0,0.9914535713141523,0.0033569396199657126,,,,,,,,,,,,,,,,,-0.6559768255982967,True,True,1.0610792254093209,0.08589880477002443,-0.9549942360649798,-0.4547969679338292,-0.2141755989336206
Fifth Third Bancorp,2018,1385098,3.4763647206474304,11.927576932609027,65112525,1102713,SM,2321055.65,237606,5230242,0.6800490402890332,0.0,94709936,11.927576932609027,240351.0,1.6457357602705482,,112797869,13.69,95812649,2313278,17244702,83.78576378856638,0.3518044165530327,58245730,0,4510217,1134,6672,OH,833984,108639722,80196461,20181231,10.273480927832766,32304735,2980295,17420,144453358,3904046,113038220,4396258,CINCINNATI,13.573540562919877,287839,FIFTH THIRD BANK,387949,2725689,127208552,17244806,6672_20181231,FITB,False,,2018-12-31,4,0.32568587863467774,7.37667441281386,4396258,5.271393695802318,0.8378576378856638,0.5152746566603755,0.001992608576119082,0.9610884000119606,0.011509054509076353,,,,,,,,,,,,,,,,,-0.640594654359796,True,True,,,,,
Fifth Third Bancorp,2019,1758379,3.4017174399566232,11.855166760412263,74293706,1201496,N,2708421.98,468519,6218612,0.9176166187748488,0.0,109715850,11.855166760412263,220537.0,1.6247721050116435,,132165535,12.29,110917346,2716976,23039944,82.87567441384618,0.33478187750219446,81453527,0,5234152,1165,6672,OH,1178250,126084445,95773009,20191231,10.35959885868384,35502369,3489839,19841,167845100,4428544,132386072,5040362,CINCINNATI,13.461897338262585,391228,"FIFTH THIRD BANK, NATIONAL ASSOCIATION",458031,3346540,144805052,23040048,6672_20191231,FITB,False,,2019-12-31,4,0.3077100210360498,6.284956768992147,5040362,4.277837470825377,0.8287567441384619,0.6152726323053078,0.0023308872287603273,0.9523996225222242,0.0108323543911698,,,,,,,,,,,,,,,,,-0.640594654359796,True,True,-0.055193850203101746,-0.14799591017943192,-0.1884807476565682,-0.010862100356533122,0.19406732769091395
Fifth Third Bancorp,2020,2651289,2.989986567715423,12.278467893291252,82956845,2452468,N,1524462.5,1078240,5627935,1.1676998697385932,0.0,111027805,12.278467893291252,143135.0,0.816458864237392,,165140813,6.52,113480273,1561861,24405347,67.17397929047532,0.4110225277382433,106661611,0,36544944,1146,6672,OH,531821,159533148,107031249,20201231,8.846554710733901,37021967,1959537,19846,203174120,4694528,165283948,5096114,CINCINNATI,14.173124260810594,484602,"FIFTH THIRD BANK, NATIONAL ASSOCIATION",459504,2636191,178768669,24405451,6672_20201231,FITB,False,,2020-12-31,4,0.44509410556916273,7.324979603854843,5096114,9.5823858027419,0.6717397929047532,0.6453234708551371,0.0023851561409494477,0.9652065426220336,0.021611403772354338,2020-03-02,2020.0,0.0,0.0,,,,,0.0,,,,,0.0,,,-0.640594654359796,True,True,0.4464725720356626,0.16547812070781753,1.2400069820541946,-0.1894608428157486,0.04884150045360314
Fifth Third Bancorp,2021,2967619,2.741159179302157,10.903476114914765,89399259,1892292,N,2869195.67,-376076,5237794,0.8407804853185454,0.0,114568784,10.903476114914765,121423.0,1.3959009663883633,,176175460,12.13,116461076,2871974,22964184,64.98627885553712,0.15269301251148978,112559456,0,37545107,1129,6672,OH,194951,174188879,110608950,20211231,8.290870396432688,37613632,3686463,19086,209696785,4741368,176296883,5042843,CINCINNATI,12.333533900195134,465554,"FIFTH THIRD BANK, NATIONAL ASSOCIATION",324578,3008912,186732497,22964288,6672_20211231,FITB,False,,2021-12-31,4,0.426319159596259,8.13146667872022,5042843,25.86723330477915,0.6498627885553712,0.638465377745788,0.0022201294120937523,0.9880428742463927,0.016248278523547214,2021-02-26,2021.0,0.0,100000.0,,,,,0.0,21.82952182952183,0.12993762993762994,0.9834600000000002,0.0367,15392.0,,inf,-0.640594654359796,True,True,-0.04218196947114217,0.11010093112627284,1.699456464941905,-0.03256767662189686,-0.010627372812368363
