name,archetype,year,liquidity_ratio,debt_to_equity,interest_coverage,loan_to_deposit,uninsured_deposit_ratio,npa_ratio,core_deposit_ratio,reserve_ratio,ROA,ROE,distressed,is_synthetic,failed,batch,bank_name
Synthetic_Bank_1,A,2022,0.2,6.5,5.5,1.1,0.5,0.005,0.8,0.02,0.5,10.0,True,True,True,1,Synthetic_Bank_1
Synthetic_Bank_2,B,2022,0.9,10.0,8.0,0.8,0.9,0.001,0.7,0.015,1.0,12.0,True,True,True,1,Synthetic_Bank_2
Synthetic_Bank_3,C,2022,0.8,25.0,6.0,0.9,0.6,0.003,0.9,0.025,1.5,15.0,True,True,True,1,Synthetic_Bank_3
Synthetic_Bank_4,D,2022,0.4,8.0,7.0,1.0,0.7,0.007,0.85,0.02,1.2,11.0,True,True,True,1,Synthetic_Bank_4
Synthetic_Bank_5,E,2022,0.6,9.0,2.0,0.7,0.4,0.005,0.75,0.015,0.8,9.0,True,True,True,1,Synthetic_Bank_5
Synthetic_Bank_6,A/C,2022,0.15,28.0,4.0,1.2,0.5,0.008,0.85,0.03,1.0,14.0,True,True,True,1,Synthetic_Bank_6
Synthetic_Bank_7,B/D,2022,0.95,12.0,9.0,0.9,0.95,0.002,0.7,0.02,1.5,13.0,True,True,True,1,Synthetic_Bank_7
Synthetic_Bank_8,C/E,2022,0.7,22.0,3.0,0.8,0.6,0.006,0.9,0.025,1.2,16.0,True,True,True,1,Synthetic_Bank_8
Synthetic_Bank_9,A/E,2022,0.1,7.0,1.0,1.1,0.4,0.009,0.75,0.015,0.8,10.0,True,True,True,1,Synthetic_Bank_9
Synthetic_Bank_10,B/C,2022,0.99,18.0,8.0,0.9,0.9,0.003,0.7,0.02,1.0,12.0,True,True,True,1,Synthetic_Bank_10
Synthetic_Bank_1,A,2022,0.1234,7.6543,3.1415,1.0547,0.4567,0.0021,0.8765,0.0219,0.9876,10.1234,True,True,True,2,Synthetic_Bank_1
Synthetic_Bank_2,B,2022,0.5678,12.3456,4.5678,0.9012,0.8912,0.0034,0.6789,0.0345,1.2345,12.3456,True,True,True,2,Synthetic_Bank_2
Synthetic_Bank_3,C,2022,0.9876,20.1234,5.6789,0.7654,0.4321,0.0045,0.9876,0.0456,2.3456,15.6789,True,True,True,2,Synthetic_Bank_3
Synthetic_Bank_4,D,2022,0.5432,8.7654,6.789,1.0123,0.6789,0.0056,0.9876,0.0567,1.2345,12.3456,True,True,True,2,Synthetic_Bank_4
Synthetic_Bank_5,E,2022,0.9876,10.1234,2.3456,0.7654,0.4321,0.0045,0.9876,0.0456,2.3456,15.6789,True,True,True,2,Synthetic_Bank_5
Synthetic_Bank_6,A/B,2022,0.1234,7.6543,3.1415,1.0547,0.4567,0.0021,0.8765,0.0219,0.9876,10.1234,True,True,True,2,Synthetic_Bank_6
Synthetic_Bank_7,C/D,2022,0.9876,20.1234,5.6789,0.7654,0.4321,0.0045,0.9876,0.0456,2.3456,15.6789,True,True,True,2,Synthetic_Bank_7
Synthetic_Bank_8,B/E,2022,0.5678,12.3456,4.5678,0.9012,0.8912,0.0034,0.6789,0.0345,1.2345,12.3456,True,True,True,2,Synthetic_Bank_8
Synthetic_Bank_9,A/C,2022,0.1234,7.6543,3.1415,1.0547,0.4567,0.0021,0.8765,0.0219,0.9876,10.1234,True,True,True,2,Synthetic_Bank_9
Synthetic_Bank_10,D/E,2022,0.5432,8.7654,6.789,1.0123,0.6789,0.0056,0.9876,0.0567,1.2345,12.3456,True,True,True,2,Synthetic_Bank_10
Synthetic_Bank_1,A,2022,0.205,10.123,5.678,1.012,0.6,0.003,0.85,0.012,0.5,8.0,True,True,True,3,Synthetic_Bank_1
Synthetic_Bank_2,B,2022,0.35,12.345,8.901,0.75,0.95,0.001,0.8,0.018,1.0,10.0,True,True,True,3,Synthetic_Bank_2
Synthetic_Bank_3,C,2022,0.45,25.678,6.543,0.85,0.7,0.002,0.9,0.022,1.5,12.0,True,True,True,3,Synthetic_Bank_3
Synthetic_Bank_4,D,2022,0.3,15.901,7.234,0.9,0.65,0.004,0.85,0.015,1.2,9.0,True,True,True,3,Synthetic_Bank_4
Synthetic_Bank_5,E,2022,0.4,10.567,3.456,0.8,0.6,0.005,0.9,0.012,0.8,8.5,True,True,True,3,Synthetic_Bank_5
Synthetic_Bank_6,A/B,2022,0.2,12.345,5.678,1.012,0.95,0.003,0.85,0.012,0.5,8.0,True,True,True,3,Synthetic_Bank_6
Synthetic_Bank_7,C/D,2022,0.45,25.678,6.543,0.85,0.7,0.002,0.9,0.022,1.5,12.0,True,True,True,3,Synthetic_Bank_7
Synthetic_Bank_8,E/B,2022,0.4,10.567,3.456,0.8,0.95,0.005,0.9,0.012,0.8,8.5,True,True,True,3,Synthetic_Bank_8
Synthetic_Bank_9,A/C,2022,0.2,12.345,5.678,1.012,0.7,0.003,0.85,0.012,0.5,8.0,True,True,True,3,Synthetic_Bank_9
Synthetic_Bank_10,D/E,2022,0.3,15.901,7.234,0.9,0.6,0.004,0.85,0.015,1.2,9.0,True,True,True,3,Synthetic_Bank_10
Synthetic_Bank_1,A,2022,0.1,5.5,6.5,1.1,0.3,0.005,0.8,0.015,0.5,10.0,True,True,True,4,Synthetic_Bank_1
Synthetic_Bank_2,B,2022,0.8,10.0,8.0,0.9,0.9,0.002,0.7,0.02,1.2,12.0,True,True,True,4,Synthetic_Bank_2
Synthetic_Bank_3,C,2022,0.9,25.0,9.0,0.8,0.2,0.003,0.6,0.025,1.5,15.0,True,True,True,4,Synthetic_Bank_3
Synthetic_Bank_4,D,2022,0.6,8.0,7.0,0.7,0.4,0.01,0.9,0.012,1.8,18.0,True,True,True,4,Synthetic_Bank_4
Synthetic_Bank_5,E,2022,0.7,12.0,2.0,0.6,0.5,0.008,0.85,0.018,2.0,20.0,True,True,True,4,Synthetic_Bank_5
Synthetic_Bank_6,A/B,2022,0.2,6.0,5.0,1.2,0.8,0.006,0.75,0.012,0.8,11.0,True,True,True,4,Synthetic_Bank_6
Synthetic_Bank_7,C/D,2022,0.85,28.0,8.5,0.75,0.1,0.004,0.65,0.03,1.9,19.0,True,True,True,4,Synthetic_Bank_7
Synthetic_Bank_8,A/E,2022,0.15,7.0,1.5,1.05,0.6,0.007,0.8,0.014,0.9,12.5,True,True,True,4,Synthetic_Bank_8
Synthetic_Bank_9,B/C,2022,0.95,22.0,9.5,0.85,0.95,0.001,0.7,0.04,2.1,21.0,True,True,True,4,Synthetic_Bank_9
Synthetic_Bank_10,D/E,2022,0.65,9.0,3.0,0.65,0.3,0.012,0.85,0.016,1.6,16.0,True,True,True,4,Synthetic_Bank_10
Synthetic_Bank_1,A,2022,0.2,9.5,3.5,1.1,0.7,0.005,0.85,0.02,1.2,10.0,True,True,True,5,Synthetic_Bank_1
Synthetic_Bank_2,B,2022,0.45,7.8,4.8,0.8,0.95,0.002,0.75,0.015,1.5,12.0,True,True,True,5,Synthetic_Bank_2
Synthetic_Bank_3,C,2022,0.55,25.0,5.2,0.9,0.6,0.003,0.8,0.025,1.0,8.0,True,True,True,5,Synthetic_Bank_3
Synthetic_Bank_4,D,2022,0.3,8.2,4.0,0.85,0.7,0.007,0.85,0.015,1.8,15.0,True,True,True,5,Synthetic_Bank_4
