name,archetype,year,liquidity_ratio,debt_to_equity,interest_coverage,loan_to_deposit,uninsured_deposit_ratio,npa_ratio,core_deposit_ratio,reserve_ratio,ROA,ROE,distressed,is_synthetic,failed,batch,bank_name
Synthetic_Bank_1,A,2022,0.08,10.5,5.2,1.1,0.4,0.005,0.8,0.015,0.5,8.0,True,True,True,1,Synthetic_Bank_1
Synthetic_Bank_2,B,2022,0.3,8.0,6.0,0.9,0.92,0.001,0.7,0.01,1.2,12.0,True,True,True,1,Synthetic_Bank_2
Synthetic_Bank_3,C,2022,0.4,25.0,4.0,1.0,0.6,0.003,0.9,0.02,0.8,10.0,True,True,True,1,Synthetic_Bank_3
Synthetic_Bank_4,D,2022,0.2,12.0,7.0,1.1,0.5,0.06,0.85,0.012,1.5,15.0,True,True,True,1,Synthetic_Bank_4
Synthetic_Bank_5,E,2022,0.6,9.0,0.5,0.8,0.3,0.002,0.75,0.008,0.2,5.0,True,True,True,1,Synthetic_Bank_5
Synthetic_Bank_6,A,2022,0.1,11.0,3.0,1.2,0.7,0.01,0.8,0.018,0.6,9.0,True,True,True,1,Synthetic_Bank_6
Synthetic_Bank_7,B,2022,0.35,7.0,5.0,0.95,0.95,0.0005,0.65,0.01,1.0,11.0,True,True,True,1,Synthetic_Bank_7
Synthetic_Bank_8,C,2022,0.45,28.0,2.0,1.05,0.4,0.004,0.95,0.025,0.9,12.0,True,True,True,1,Synthetic_Bank_8
Synthetic_Bank_9,D,2022,0.25,10.0,6.0,1.05,0.6,0.07,0.9,0.015,1.8,18.0,True,True,True,1,Synthetic_Bank_9
Synthetic_Bank_10,E,2022,0.5,8.0,0.8,0.9,0.2,0.001,0.7,0.01,0.4,6.0,True,True,True,1,Synthetic_Bank_10
